26 differing registers out of 332
TCON0 +0x004    ours=0xc8000200 vendor=0x00000a00
TCON0 +0x014    ours=0x11111111 vendor=0x00000000
TCON0 +0x018    ours=0x11111111 vendor=0x00000000
TCON0 +0x01c    ours=0x11111111 vendor=0x00000000
TCON0 +0x020    ours=0x11111111 vendor=0x00000000
TCON0 +0x024    ours=0x11111111 vendor=0x00000000
TCON0 +0x028    ours=0x11111111 vendor=0x00000000
TCON0 +0x02c    ours=0x01010000 vendor=0x00000000
TCON0 +0x030    ours=0x15151111 vendor=0x00000000
TCON0 +0x034    ours=0x57575555 vendor=0x00000000
TCON0 +0x038    ours=0x7f7f7777 vendor=0x00000000
TCON0 +0x040    ours=0x810001e0 vendor=0x81000000
TCON0 +0x060    ours=0x10000007 vendor=0x10000005
TCON0 +0x08c    ours=0xe0000000 vendor=0x00000000
TCON0 +0x164    ours=0x000004ff vendor=0x03d904ff
TCON0 +0x1f0    ours=0x0bb80003 vendor=0x040b0003
DSI +0x004      ours=0x0a07000c vendor=0x00020004
DSI +0x048      ours=0x63f07602 vendor=0x63f07006
DSI +0x07c      ours=0x10000033 vendor=0x10000027
DSI +0x0c0      ours=0x23000a19 vendor=0x06000219
DSI +0x0c4      ours=0x9c870000 vendor=0xf0b80000
DSI +0x0e8      ours=0x1a000019 vendor=0x39000419
DSI +0x0ec      ours=0xffff0000 vendor=0x03210000
DPHY +0x050     ours=0x80000000 vendor=0x80000020
DPHY +0x074     ours=0x000002f0 vendor=0x000032f0
DPHY +0x0f0     ours=0x00020000 vendor=0x00000000
